Year,Month,Date,Hours,Minutes,Name,Latitude,Longitude,Focal Depth (km),Magnitude,Deaths,Injuries,Damage
1987,3,18,3,36,"JAPAN: KYUSHU: MIYAZAKI, NAZE",32.034,131.837,54,6.7,2,5,
1987,4,25,19,22,"INDONESIA: SUMATERA: N, TARUTUNG-LAKE TOBA,",2.244,98.866,11,6.6,2,22,1
1987,5,23,17,9,PHILIPPINES: MINDANAO: TALAKAG-MALAYBALAY,8.047,125.41,32,5.2,1,2,
1987,5,29,6,27,"IRAN: W, NAHAVAND-HAMADEN-TUYSARKAN",34.076,48.266,41,4.6,2,50,
1987,8,8,15,48,"CHILE: ARICA, IQUIQUE",-19.022,-69.991,70,6.9,5,112,1
1987,8,13,15,23,"CHILE: ARICA; PERU: AREQUIPA, TACNA",-17.897,-70.931,37,6.4,1,1,
1987,9,22,13,43,"ECUADOR: AMBATO, LATACUNGA, RIOBAMBA",-0.978,-78.05,10,6.2,2,12,
1987,10,1,14,42,CALIFORNIA: WHITTIER,34.061,-118.078,10,5.7,8,200,358
1987,11,26,1,43,"INDONESIA: TIMOR: PANTAR, MOUNT SIRUNG",-8.247,124.155,33,6.5,125,108,5
1988,2,6,14,50,BANGLADESH: SYLHET; INDIA: TIPURA-ASSAM,24.688,91.57,33,5.8,2,100,
1988,6,19,20,19,"PHILIPPINES: MINDORO: SAN JOSE, CALAPAN",12.376,121.067,17,6.2,2,2,
1988,7,20,23,15,"TAIWAN: HUALIEN, SU-HUA",23.902,121.598,51,5.7,1,1,
1988,11,6,13,3,CHINA: YUNNAN PROVINCE,22.789,99.611,18,7.3,738,3900,269
1989,3,10,21,49,"MALAWI: SALIMA, DEDZA, MOHINJI",-13.702,34.42,30,6.1,9,100,28
1989,4,15,20,34,CHINA: SICHUAN PROVINCE: BATANG,29.987,99.195,13,6.2,11,42,164
1989,5,7,0,38,"CHINA: YUNNAN PROVINCE: GENGMA, LANCANG, MENGLIAN",23.553,99.526,33,5.6,1,91,54
1989,8,20,11,16,"DJIBOUTI: GALAFI, YABAKI",11.766,41.942,12,6.3,2,2,
1989,9,22,2,25,CHINA: SICHUAN PROVINCE: XIAOJIN COUNTY,31.583,102.433,15,6.1,1,151,
1989,10,18,0,4,CALIFORNIA: LOMA PRIETA,37.036,-121.883,19,6.9,62,3757,5600
1989,10,18,14,57,CHINA: SHANXI AND HEBEI PROVINCES; DATONG,39.893,113.884,10,5.3,29,193,
1989,10,29,19,9,"ALGERIA: ALGIERS, CHERCHELL, TIPAZA",36.788,2.448,6,5.7,30,245,5
1989,11,20,3,21,CHINA: SICHUAN PROVINCE: JIANGBEI COUNTY,29.882,106.804,33,4.7,4,161,5
1989,11,20,4,19,"IRAN: SHAHDAD, KERMAN PROVINCE",29.892,57.718,18,5.9,3,45,
1989,12,27,23,26,AUSTRALIA: NEWCASTLE,-32.967,151.619,10,5.4,12,100,1000
1990,3,4,19,46,"PAKISTAN: KALAT, QUETTA, MASTUNG",28.925,66.331,10,6.1,11,40,1
1990,3,26,22,47,PHILIPPINES: SANTIAGO,9.253,125.606,39,5.5,1,2,
1990,4,18,13,39,INDONESIA: MINAHASSA PENINSULA: BOLAANG-GORONTALO,1.186,122.857,26,7.6,3,25,
1990,4,26,9,37,CHINA: QINGHAI PROVINCE: GANGHE-XINGHAI,35.986,100.245,8,6.9,126,2049,58.35
1990,5,5,7,21,ITALY: POTENZA,40.775,15.766,10,5.4,2,16,
1990,5,30,2,34,PERU: MOYABAMBA-RIOJO,-6.016,-77.229,24,6.5,200,8130,1
1990,5,30,10,40,"ROMANIA: BUCHAREST, BRAILA, BRASOV",45.841,26.668,89,6.7,14,700,23.7
1990,6,14,7,40,"PHILIPPINES: CULASI, PANAY",11.76,121.899,18,7.1,4,15,
1990,6,20,21,0,"IRAN: RASHT, QAZVIN, ZANJAN, RUDBAR, MANJIL",36.957,49.409,19,7.3,40000,105000,7200
1990,7,16,7,26,"PHILIPPINES: BAGUIO, CABANATUAN, DAGUPAN",15.679,121.172,25,7.8,2412,3000,369.6
1990,8,11,2,59,"ECUADOR: PAMASQUI, QUITO",-0.059,-78.449,5,4.4,4,10,
1990,9,26,23,8,SOUTH AFRICA: WELKOM,-28.014,26.727,5,4.2,2,5,
1990,10,18,9,30,SOUTH AFRICA: CHARLETONVILLE,-26.39,27.349,5,4,10,6,
1990,10,20,8,7,CHINA: GANSU PROVINCE: TIANZHU,37.093,103.781,12,5.8,7,92,
1990,10,25,4,53,"AFGHANISTAN: HINDU KUSH: CHITRAL, MARDAN, MALAKAND",35.121,70.486,114,6,11,250,
